wavelength,Intensity
1260.444,0
1259.832,0
1259.22,0
1258.609,0
1257.998,0
1257.388,0
1256.778,0
1256.17,0
1255.561,0
1254.954,0
1254.346,0
1253.74,0
1253.134,0
1252.529,0
1251.924,0
1251.32,0
1250.716,0
1250.113,0
1249.51,0
1248.909,0
1248.307,0
1247.707,0
1247.106,0
1246.507,0
1245.908,0
1245.309,0
1244.712,0
1244.114,0
1243.518,0
1242.921,0
1242.326,0
1241.731,0
1241.136,0
1240.543,0
1239.949,0
1239.357,0
1238.764,0
1238.173,0
1237.582,0
1236.991,0
1236.402,0
1235.812,0
1235.223,0
1234.635,0
1234.048,0
1233.461,0
1232.874,0
1232.288,0
1231.703,0.001
1231.118,0.001
1230.533,0.001
1229.95,0.001
1229.366,0.001
1228.784,0.001
1228.202,0.001
1227.62,0.001
1227.039,0.001
1226.459,0.001
1225.879,0.001
1225.3,0.001
1224.721,0.001
1224.143,0.001
1223.565,0.001
1222.988,0.001
1222.411,0.001
1221.835,0.001
1221.26,0.001
1220.685,0.001
1220.11,0.001
1219.536,0.001
1218.963,0.001
1218.39,0.001
1217.818,0.001
1217.246,0.001
1216.675,0.001
1216.104,0.001
1215.534,0.001
1214.965,0.001
1214.395,0.001
1213.827,0.001
1213.259,0.001
1212.691,0.001
1212.124,0.001
1211.558,0.001
1210.992,0.001
1210.427,0.001
1209.862,0.001
1209.298,0.001
1208.734,0.001
1208.171,0.001
1207.608,0.001
1207.046,0.001
1206.484,0.001
1205.923,0.001
1205.362,0.001
1204.802,0.001
1204.243,0.001
1203.683,0.001
1203.125,0.001
1202.567,0.001
1202.009,0.001
1201.452,0.001
1200.896,0.001
1200.34,0.001
1199.785,0.001
1199.229,0.001
1198.675,0.001
1198.121,0.001
1197.568,0.001
1197.015,0.001
1196.462,0.001
1195.911,0.001
1195.359,0.001
1194.808,0.001
1194.258,0.001
1193.708,0.001
1193.159,0.001
1192.61,0.001
1192.062,0.001
1191.514,0.001
1190.967,0.001
1190.42,0.001
1189.873,0.001
1189.328,0.001
1188.782,0.001
1188.237,0.001
1187.693,0.001
1187.149,0.001
1186.606,0.001
1186.063,0.001
1185.521,0.001
1184.979,0.001
1184.438,0.001
1183.897,0.001
1183.357,0.001
1182.817,0.001
1182.277,0.001
1181.739,0.001
1181.2,0.001
1180.662,0.001
1180.125,0.001
1179.588,0.001
1179.051,0.001
1178.516,0.001
1177.98,0.001
1177.445,0.001
1176.911,0.001
1176.377,0.001
1175.843,0.001
1175.31,0.001
1174.778,0.001
1174.246,0.001
1173.714,0.001
1173.183,0.001
1172.652,0.001
1172.122,0.001
1171.592,0.001
1171.063,0.001
1170.535,0.001
1170.006,0.001
1169.479,0.001
1168.951,0.001
1168.425,0.001
1167.898,0.001
1167.372,0.001
1166.847,0.001
1166.322,0.001
1165.798,0.001
1165.274,0.001
1164.75,0.001
1164.227,0.001
1163.705,0.001
1163.183,0.001
1162.661,0.001
1162.14,0.001
1161.619,0.001
1161.099,0.001
1160.579,0.001
1160.06,0.001
1159.541,0.001
1159.023,0.001
1158.505,0.001
1157.988,0.001
1157.471,0.001
1156.954,0.001
1156.438,0.001
1155.923,0.001
1155.407,0.001
1154.893,0.001
1154.378,0.001
1153.865,0.001
1153.351,0.001
1152.839,0.001
1152.326,0.001
1151.814,0.001
1151.303,0.001
1150.792,0.001
1150.281,0.001
1149.771,0.001
1149.262,0.001
1148.752,0.001
1148.244,0.001
1147.735,0.001
1147.227,0.001
1146.72,0
1146.213,0
1145.707,0
1145.201,0
1144.695,0
1144.19,0
1143.685,0
1143.181,0
1142.677,0
1142.174,0
1141.671,0
1141.168,0
1140.666,0
1140.165,0
1139.663,0
1139.163,0
1138.662,0
1138.162,0
1137.663,0
1137.164,0
1136.666,0
1136.167,0
1135.67,0
1135.173,0
1134.676,0
1134.179,0
1133.684,0
1133.188,0
1132.693,0
1132.198,0
1131.704,0
1131.21,0
1130.717,0
1130.224,0
1129.732,0
1129.24,0
1128.748,0
1128.257,0
1127.766,0
1127.276,0
1126.786,0
1126.296,0
1125.807,0
1125.319,0
1124.83,0
1124.343,0
1123.855,0
1123.368,0
1122.882,0
1122.396,0
1121.91,0
1121.425,0
1120.94,0
1120.456,0
1119.972,0
1119.488,0
1119.005,0
1118.522,0
1118.04,0
1117.558,0
1117.076,0
1116.595,0
1116.115,0
1115.634,0
1115.155,0
1114.675,0
1114.196,0
1113.717,0
1113.239,0
1112.762,0
1112.284,0
1111.807,0
1111.331,0
1110.855,0
1110.379,0
1109.903,0
1109.428,0
1108.954,0
1108.48,0
1108.006,0
1107.533,0
1107.06,0
1106.587,0
1106.115,0
1105.644,0
1105.172,0
1104.701,0
1104.231,0
1103.761,0
1103.291,0
1102.822,0
1102.353,0
1101.885,0
1101.416,0
1100.949,0
1100.481,0
1100.015,0
1099.548,0
1099.082,0
1098.616,0
1098.151,0
1097.686,0
1097.221,0
1096.757,0
1096.293,0
1095.83,0
1095.367,0
1094.905,0
1094.443,0
1093.981,0
1093.519,0
1093.058,0
1092.598,0
1092.138,0
1091.678,0
1091.218,0
1090.759,0
1090.3,0
1089.842,0
1089.384,0
1088.927,0
1088.469,0
1088.013,0
1087.556,0
1087.1,0
1086.645,0
1086.189,0
1085.735,0
1085.28,0
1084.826,0
1084.372,0
1083.919,0
1083.466,0
1083.014,0
1082.561,0
1082.109,0
1081.658,0
1081.207,0
1080.756,0
1080.306,0
1079.856,0
1079.406,0
1078.957,0
1078.509,0
1078.06,0
1077.612,0
1077.164,0
1076.717,0
1076.27,0
1075.823,0
1075.377,0
1074.931,0
1074.486,0
1074.041,0
1073.596,0
1073.152,0
1072.708,0
1072.264,0
1071.821,0
1071.378,0
1070.935,0
1070.493,0
1070.051,0
1069.61,0
1069.169,0
1068.728,0
1068.288,0
1067.848,0
1067.408,0
1066.969,0
1066.53,0
1066.091,0
1065.653,0
1065.215,0
1064.778,0
1064.341,0
1063.904,0
1063.468,0
1063.032,0
1062.596,0
1062.161,0
1061.726,0
1061.291,0
1060.857,0
1060.423,0
1059.989,0
1059.556,0
1059.123,0
1058.691,0
1058.259,0
1057.827,0
1057.396,0
1056.965,0
1056.534,0
1056.103,0
1055.674,0
1055.244,0
1054.815,0
1054.386,0
1053.957,0
1053.529,0
1053.101,0
1052.673,0
1052.246,0
1051.819,0
1051.393,0
1050.967,0
1050.541,0
1050.115,0
1049.69,0
1049.265,0
1048.841,0
1048.417,0
1047.993,0
1047.57,0
1047.146,0
1046.724,0
1046.301,0
1045.879,0
1045.457,0
1045.036,0
1044.615,0
1044.194,0
1043.774,0
1043.354,0
1042.934,0
1042.515,0
1042.096,0
1041.677,0
1041.259,0
1040.841,0
1040.423,0
1040.006,0
1039.589,0
1039.172,0
1038.756,0
1038.34,0
1037.924,0
1037.509,0
1037.094,0
1036.679,0
1036.265,0
1035.851,0
1035.437,0
1035.024,0
1034.611,0
1034.198,0
1033.786,0
1033.374,0
1032.962,0
1032.551,0
1032.139,0
1031.729,0
1031.318,0
1030.908,0
1030.499,0
1030.089,0
1029.68,0
1029.271,0
1028.863,0
1028.455,0
1028.047,0
1027.639,0
1027.232,0
1026.826,0
1026.419,0
1026.013,0
1025.607,0
1025.201,0
1024.796,0
